Sample,Acetanaerobacterium,Acetatifactor,Acetivibrio,Acholeplasma,Acidaminococcus,Acinetobacter,Actinomyces,Actinotignum,Adlercreutzia,Aestuariispira,Aggregicoccus,Akkermansia,Alistipes,Allisonella,Allobaculum,Alloprevotella,Anaerobacterium,Anaerocella,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerorhabdus,Anaerostipes,Anaerotruncus,Anaerovibrio,Anaerovorax,Arthrobacter,Atopobium,Bacillus,Bacteroides,Barnesiella,Basfia,Bibersteinia,Bifidobacterium,Bilophila,Blautia,Bulleidia,Burkholderia,Butyricicoccus,Butyricimonas,Butyrivibrio,Campylobacter,Candidatus_Endomicrobium,Catonella,Cellulosilyticum,Centipeda,Chlamydophila,Christensenella,Chryseobacterium,Cloacibacillus,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Curvibacter,Defluviitalea,Denitrobacterium,Desulfobulbus,Desulfovibrio,Devosia,Dialister,Dietzia,Elusimicrobium,Enterococcus,Erysipelothrix,Escherichia,Ethanoligenens,Eubacterium,Faecalibacterium,Faecalicoccus,Faecalitalea,Fibrobacter,Flavonifractor,Fretibacterium,Fusicatenibacter,Fusobacterium,Gemmiger,Gordonibacter,Gp6,GpI,Haemophilus,Helicobacter,Holdemania,Hydrogenoanaerobacterium,Intestinimonas,Kandleria,Klebsiella,Lachnoanaerobaculum,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactonifactor,Lawsonia,Leifsonia,Leptotrichia,Lysinibacillus,Megamonas,Megasphaera,Methylobacterium,Microbacterium,Mitsuokella,Mogibacterium,Moraxella,Moryella,Mucinivorans,Mucispirillum,Mycoplasma,Neisseria,Nesterenkonia,Nitrosomonas,Novosphingobium,Odoribacter,Oligosphaera,Olivibacter,Olsenella,Oribacterium,Oscillibacter,Oxalobacter,Paludibacter,Parabacteroides,Paracoccus,Paraprevotella,Parasutterella,Parvibacter,Parvimonas,Pectinatus,Pedomicrobium,Pelomonas,Peptococcus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Pseudoramibacter,Psychrobacter,Pyramidobacter,Romboutsia,Roseburia,Rothia,Ruminobacter,Ruminococcus,Ruminococcus2,SR1,Saccharibacteria,Saccharofermentans,Schwartzia,Sedimentibacter,Sediminibacterium,Selenomonas,Senegalimassilia,Serratia,Sharpea,Slackia,Solibacillus,Sphaerochaeta,Sphingomonas,Sporobacter,Staphylococcus,Stomatobaculum,Streptococcus,Succiniclasticum,Succinivibrio,Synergistes,Syntrophococcus,Syntrophomonas,Treponema,Turicibacter,Unclassified,Ureaplasma,Vampirovibrio,Variovorax,Veillonella,Vibrionimonas,Victivallis,Yersinia
E1,0.005243,0,0.044564,0.621281,0,0,0,0,0,0,0,0.243794,3.111647,0,0,0,0,0,0.47448,0,0.154665,0,0,0,0,0.081265,0,0.010486,0,10.580124,0.065536,0,0,0.0734,0,0.028836,0,0,0.031457,0.028836,0.154665,0.718274,0,0,0.013107,0,0.010486,0.010486,0,0,0.440402,0.49283,0.0367,0.013107,6.760689,0.411566,0.117965,0,0.010486,0.005243,0,0,0.002621,0,0,0.398459,0,0,0,0.062915,0,0.010486,0.005243,0.007864,0.878182,0.052429,0.007864,0,0,0.225444,0,0,0,0,0.002621,0,0.002621,0,0.044564,0,0.020972,0.487587,0,0,0,0.086507,0,0,0,0,0,0,0,0,0,0,0,0,0.083886,0,0,0,0.102236,0.002621,0,0,0,0,0.057672,0,0,0.002621,0,1.745878,0,0,0.013107,0,0.002621,0,0,0,0,0,0,0.131072,0,1.205862,0.060293,0.015729,0,0.089129,0,0,0,0,0.049807,1.187511,0,0.034079,1.150811,0,0,0.102236,0.015729,0,0,0,0,0,0,0,0.031457,0,0,0,0.015729,0.002621,0,0.023593,0.010486,0.007864,0,0,0,3.822057,0.094372,62.762471,0,0,0,0,0,0.12845,0
E2,0,0.008531,0,0,0,0,0,0,0.002133,0,0,0,0.002133,0,0,0,0,0,0,0,0,0,0,0,0,0.004266,0,0.403097,0.002133,0.006398,0.004266,0,0,0,0,0.008531,3.02216,0,0,0,9.239235,0,0,0,0,0,0,0,0,0,0,0.177021,0,0,0.002133,0.002133,0,0.010664,0,0,0.22181,0,0,0.002133,0,0.004266,0,0,0,0,0.002133,0,0,0,1.618786,0,0,0.115171,0,0,0,0,0.006398,0,0,0.002133,0.002133,0,0.002133,2.331137,0,0.008531,0,0,0,0,0.170623,0,0,0,0,0,0,0,0.059718,0,0.002133,0.002133,0.844584,0,0,0,0,0,0,0,0,0.002133,0,0,0,9.655128,0,0.004266,0,0,0,0,0.002133,0,0.044789,0.002133,0,0,0.002133,0.008531,0,0,0,0.034125,0,0,0,0.618508,0.002133,0.017062,0,0.010664,0,0,0.019195,0,0,0.848849,0,0,0,0,0,0,0,0.008531,0.017062,0,0,0,0,0.002133,0,0.002133,0.029859,0,0,0.040523,0,0.004266,0,70.328663,0.002133,0,0.002133,0,0,0,0
E3,0.005334,0,0.066681,0.70415,0,0,0,0,0,0,0,1.106903,1.280273,0,0,0,0,0,0.301398,0.002667,0.04801,0,0.002667,0,0,0.080017,0,0,0,13.872293,0.07735,0,0,0.018671,0,0.005334,0,0,0.02934,0.058679,0.120026,0.002667,0,0,0,0,0.002667,0.024005,0,0,0.768164,0.690814,0.117358,0.018671,3.98485,0.37608,0.064014,0,0.002667,0.002667,0,0,0.005334,0,0,0.725488,0,0,0,0.053345,0,0.032007,0,0.018671,0.669476,0.018671,0.005334,0,0.07735,0.226715,0,0,0,0,0,0,0,0,0.002667,0.002667,0.008002,0.266724,0,0.002667,0,0,0,0,0,0,0,0,0.005334,0,0,0,0,0,0.128027,0,0,0.005334,0.024005,0.005334,0.002667,0,0,0,0.042676,0,0,0,0,2.795263,0,0,0.040009,0,0,0.02934,0,0,0,0,0,0.109357,0,0.840179,0.074683,0.040009,0.002667,0.07735,0,0,0,0,0.146698,0.504108,0,0.002667,0.65614,0,0,0.064014,0.026672,0,0,0,0,0.002667,0,0,0.002667,0,0,0,0.050677,0,0,0,0.002667,0.002667,0,0,0,1.522992,0.02934,66.496853,0.005334,0.045343,0,0,0,0.266724,0
E4,0,0,0.0129,0.576208,0,0,0,0,0,0,0,8.380813,0.574058,0,0,0,0,0,0.165552,0,0.0301,0,0.00645,0.0043,0,0.064501,0,0.0043,0,8.559266,0.516007,0.01075,0.064501,0.0043,0.548257,0.135452,0,0,0.135452,0.107501,0.02795,43.70794,0,0,0,0,0,0.00645,0,0.438606,0.01075,0.225753,0.0043,0.077401,6.364086,0.483757,0.00645,0,0,0,0,0,0,0,0,1.027714,0,0,0,0,0,0.058051,0.234353,0,0.298854,0.060201,0.877212,0.00215,0.00215,0.292404,0,0,0,0,0.0043,0,0,0,0,0.0129,0.01505,0.266604,0,0.00215,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0.051601,0,0,0,0,0.00215,0,0,0,0,0.363355,0.01075,0,0,0,3.796951,0,0,0.76326,0,0,0,0,0,0,0,0,0.335405,0,0.645009,0,0.00645,0,0.152652,0,0,0.00215,0.00215,0.00215,0.060201,0,0,0.808411,0,0,0.00215,0.0043,0,0.0301,0,0,0,0,0,0,0,0,0,0.00645,0,0,0.00215,0,0,0,0.00215,0,0,0.00215,18.473049,0.0043,0,0,0,0,0.053751,0
E5,0.004622,0,0.009244,0.346661,0,0,0,0,0.006933,0.002311,0,0.6263,2.283337,0,0,0,0,0,0.379015,0.013866,0.032355,0,0,0.002311,0,0.092443,0,0,0.002311,7.855327,0,0,0,0,0,0.013866,0,0,0.265773,0.057777,0.002311,0.589323,0,0,0.002311,0,0,0.013866,0,0,0.272706,0.469147,0.062399,0.034666,9.131038,0.887451,0.120176,0,0.002311,0.268084,0,0.002311,0.030044,0,0,0.899006,0,0,0,0.041599,0,0.002311,0.281951,0.011555,1.072336,0.030044,0.0208,0,0.002311,0.501502,0,0,0,0,0,0,0,0,0,0,0.013866,0.078576,0,0,0,0,0,0,0,0,0,0,0.002311,0,0,0,0,0,0.774208,0,0,0,0.002311,0,0.002311,0,0.013866,0,0.006933,0,0,0,0,2.123873,0,0,0,0,0,0.002311,0,0,0,0,0,0.314306,0,1.462907,0.489947,0.013866,0,0.305061,0,0,0,0,0.073954,0.205685,0,0,0.362838,0,0,0.094754,0,0,0,0.002311,0,0,0,0,0.025422,0,0,0,0.027733,0,0,0,0,0,0,0.002311,0,8.047146,0.154842,58.608736,0,0.013866,0,0.002311,0,0.025422,0
E6,0.008051,0,0.152967,1.164694,0,0,0,0,0.005367,0,0,4.841263,1.406221,0,0,0,0.005367,0,0.413279,0.016102,0.075142,0.002684,0,0.013418,0,0.083192,0,0.002684,0.002684,11.123635,0,0,0,0.075142,0,0.013418,0,0,0.110029,0.024153,0.053673,0.254945,0,0,0.042938,0,0.005367,0.013418,0,0,0.252261,0.73263,0.209323,0.056356,5.026434,0.346188,0.136865,0,0,0.005367,0,0,0.010735,0,0,1.086869,0,0,0,0.072458,0,0.016102,0.034887,0.005367,1.414272,0.024153,0.005367,0,0,0.177119,0,0.002684,0,0,0,0,0,0,0.002684,0,0.013418,0.617234,0,0,0,0,0,0,0,0,0,0,0,0.005367,0.002684,0,0,0,0.101978,0,0,0,0.010735,0,0,0,0,0,0.085876,0,0,0,0,2.906368,0.002684,0,0,0,0.002684,0,0,0,0,0,0,0.112712,0,1.127123,0,0.002684,0,0.115396,0,0,0,0,0.265679,0.080509,0,0,0.633336,0.002684,0,0.351555,0.037571,0,0,0,0,0,0,0,0.010735,0,0.008051,0,0.021469,0,0.002684,0,0.002684,0,0,0.005367,0,1.132491,0.142232,62.19306,0.013418,0.042938,0,0,0,0.418646,0
E7,0.005187,0,0.018154,0.570539,0,0,0,0,0,0.005187,0.002593,1.410788,1.434129,0,0,0.010373,0.124481,0,0.264523,0,0.067427,0,0,0.010373,0,0.098548,0,0.00778,0.002593,9.551349,0.00778,0,0,0.140041,0,0,0,0,0.098548,0.03112,0.04668,1.294087,0.002593,0,0.01556,0,0,0.02334,0.002593,0,0.466805,0.435685,0.116701,0.005187,4.320539,0.344917,0.145228,0,0,0.025934,0.002593,0,0.005187,0,0,0.394191,0,0,0,0.863589,0,0.002593,3.443983,0.020747,0.682054,0.012967,0.002593,0,8.913382,0.129668,0.002593,0,0,0,0,0,0,0,0,0.002593,0.010373,0.080394,0,0,0,0.010373,0.00778,0,0,0,0,0,0,0,0,0,0,0,0.220436,0,0,0.002593,0.002593,0,0,0,0,0,0.012967,0.00778,0,0.088174,0,2.193983,0,0,0.01556,0,0.173755,0,0,0,0,0,0,0.176349,0,2.028008,0.002593,2.264004,0.002593,0.090768,0,0,0,0,0.134855,0.243776,0,0.002593,0.492739,0,0,0.002593,0.059647,0,0,0,0.005187,0.002593,0,0.062241,0.010373,0.002593,0.028527,0,0.03112,0,0,0,0.012967,0.020747,0.005187,0,0.002593,2.80083,0.054461,52.751556,0.005187,0.137448,0,0,0,0.153008,0
E8,0.017543,0,0.005012,0.175434,0,0,0,0,0,0,0,0.037593,1.771885,0,0.002506,0.032581,0.220546,0,0.095236,0,0.042605,0.002506,0,0.005012,0,0.032581,0,0.015037,0,7.741661,0.095236,0,0,0.015037,0,0.015037,0,0,0.07268,0,0,1.127791,0,0,0.002506,0,0,0.025062,0,0,0.090223,1.100223,0.268164,0,5.160272,0.629057,0.137841,0,0,0.002506,0,0,0.012531,0,0,0.624045,0,0,0,0.042605,0,0.007519,0.17794,0.005012,1.496203,0.015037,0.110273,0,0.045112,0.080198,0,0,0,0,0,0,0,0.002506,0.027568,0,0.015037,0.102754,0,0,0,0,0.007519,0,0.002506,0.025062,0,0,0,0,0,0,0,0,0.506253,0,0,0,0,0.007519,0,0,0,0,0.012531,0,0,0.007519,0,2.959826,0,0,0.002506,0,8.706549,0.010025,0.002506,0,0,0,0,0.105261,0,0.583945,0,0.305757,0,0.147866,0,0,0,0,0.19799,0.345856,0,0,0.591464,0.002506,0,0.162903,0.042605,0,0,0,0,0,0,0,0.112779,0,0.012531,0,0.035087,0,0,0.005012,0,0,0,0.002506,0,1.125285,0.047618,62.118744,0.010025,0.010025,0,0,0,0.080198,0
E9,0.015581,0,0.046744,0.197362,0,0,0,0,0.002597,0,0,1.171185,2.199543,0,0,0.677781,0.153215,0,0.09089,0.012984,0.033759,0,0,0,0,0.054534,0,0,0.002597,10.075828,0.028565,0,0,0.012984,0,0.007791,0,0,0.028565,0.031162,0.324608,0.036356,0,0,0.171393,0,0,0.010387,0,0,0.18178,0.457048,0.288252,0.028565,13.306326,0.384336,0.441467,0,0,0.059728,0,0,0.002597,0,0,0.506388,0,0,0,0.093487,0.002597,0.010387,0,0.010387,1.19196,0.012984,0.005194,0,0.519373,0.062325,0.002597,0.002597,0,0,0,0,0,0,0.005194,0,0.012984,0.192168,0,0,0,0.096084,0.005194,0.005194,0,0,0,0,0,0,0,0,0,0,0.145424,0,0,0,0,0.002597,0,0,0.005194,0,0.04934,0,0,0.002597,0,1.246494,0.010387,0.272671,0.007791,0,0.018178,0.007791,0,0,0,0,0,0.192168,0,0.812818,0.007791,0.6622,0,0.145424,0,0,0,0,0.270074,0.363561,0,0,1.872338,0,0,0.025969,0.005194,0,0,0,0,0,0,0,0.025969,0,0,0,0.020775,0,0,0,0.002597,0.148021,0.002597,0.005194,0,3.695336,0.212943,56.357121,0.002597,0.002597,0,0,0,0.124649,0
E10,0.030921,0,0.051536,0.149454,0,0.002577,0,0,0,0,0,0.487013,2.295918,0,0.002577,0,0.07215,0,0.190682,0.002577,0.056689,0,0,0,0,0.054113,0.002577,0.005154,0,11.531128,0.018038,0,0,0.193259,0,0.020614,0.002577,0,0.07988,0.020614,0.030921,0.381365,0,0,0.110802,0,0,0.010307,0,0,0.27314,0.407133,0.203566,0.025768,8.364255,0.247372,0.20872,0,0,0.020614,0,0,0.005154,0,0,0.523088,0,0,0.002577,0.249948,0,0.020614,0.005154,0.033498,0.657081,0.012884,0.018038,0,2.027932,0.100495,0,0,0,0,0,0,0,0,0.082457,0,0.010307,0.329829,0,0,0,0.015461,0.010307,0,0.002577,0.012884,0,0,0.159761,0.00773,0,0,0,0,0.154607,0,0,0,0,0,0,0,0,0,0.018038,0,0.002577,0.005154,0,4.024943,0,0,0.012884,0.002577,0.066996,0.002577,0,0,0.002577,0,0,0.139147,0,0.752422,0.188106,0.62616,0.002577,0.066996,0,0,0,0,0.167491,0.492167,0,0,0.865801,0,0,0.038652,0.010307,0,0,0,0,0,0,0.059266,0.015461,0,0.005154,0,0.036075,0,0,0,0,0,0,0.012884,0.005154,3.084416,0.095341,58.964646,0,0.030921,0,0,0,0.206143,0
