Sample,Acetanaerobacterium,Acetatifactor,Acetivibrio,Acetobacteroides,Acholeplasma,Achromobacter,Acidaminococcus,Acidovorax,Acinetobacter,Actinobacillus,Actinomyces,Actinomycetospora,Actinotignum,Adlercreutzia,Advenella,Aeromicrobium,Aeromonas,Aestuariispira,Aggregicoccus,Agromyces,Akkermansia,Alcanivorax,Alishewanella,Alistipes,Allisonella,Allobaculum,Alloprevotella,Anaerobacterium,Anaerocella,Anaerococcus,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerostipes,Anaerotruncus,Anaerovibrio,Anaerovorax,Anoxybacillus,Aquabacterium,Aquicella,Arcobacter,Armatimonadetes_gp2,Armatimonadetes_gp5,Arthrobacter,Atopobium,Atopostipes,Aureimonas,Bacillus,Bacteroides,Barnesiella,Bdellovibrio,Bibersteinia,Bifidobacterium,Bilophila,Blastocatella,Blastococcus,Blautia,Bosea,Brachybacterium,Brachymonas,Bradyrhizobium,Brevibacillus,Brevibacterium,Brevinema,Brevundimonas,Brucella,Brumimicrobium,Bulleidia,Burkholderia,Butyricicoccus,Butyricimonas,Butyrivibrio,Campylobacter,Candidatus_Endomicrobium,Catonella,Caulobacter,Cellulosilyticum,Cellvibrio,Centipeda,Chelativorans,Chlamydophila,Christensenella,Chryseobacterium,Chryseolinea,Cloacibacillus,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Comamonas,Coprobacillus,Coprobacter,Coprococcus,Corynebacterium,Cupriavidus,Curvibacter,Defluviitalea,Deinococcus,Delftia,Denitrobacterium,Desulfobulbus,Desulfomicrobium,Desulfotomaculum,Desulfovibrio,Devosia,Dialister,Dietzia,Domibacillus,Dyella,Eggerthella,Eikenella,Elusimicrobium,Empedobacter,Enhydrobacter,Enterococcus,Erysipelothrix,Erythrobacter,Escherichia,Ethanoligenens,Eubacterium,Exiguobacterium,Faecalibacterium,Faecalicoccus,Faecalitalea,Fibrobacter,Flavitalea,Flavobacterium,Flavonifractor,Fluviicola,Fretibacterium,Fusicatenibacter,Fusobacterium,Gaiella,Gemella,Gemmatimonas,Gemmiger,Gemmobacter,Globicatella,Gordonibacter,Gp16,Gp2,Gp6,Gp7,GpI,GpIIa,Granulicatella,Guggenheimella,Haemophilus,Helicobacter,Herbaspirillum,Holdemania,Howardella,Hydrogenoanaerobacterium,Hydrogenophaga,Hydrotalea,Hymenobacter,Ignatzschineria,Intestinimonas,Jeotgalibaca,Kandleria,Klebsiella,Knoellia,Labilithrix,Lachnoanaerobaculum,Lachnobacterium,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactococcus,Lactonifactor,Lawsonia,Leadbetterella,Leifsonia,Leptotrichia,Leucobacter,Limnobacter,Lysinibacillus,Lysobacter,Macromonas,Mannheimia,Marinospirillum,Massilia,Megamonas,Megasphaera,Mesorhizobium,Methylobacterium,Methylophilus,Microbacterium,Micromonospora,Mitsuokella,Mogibacterium,Moheibacter,Moraxella,Moryella,Mucilaginibacter,Mycobacterium,Mycoplasma,Myroides,Neisseria,Nesterenkonia,Nitrolancea,Nocardioides,Nocardiopsis,Novosphingobium,Nubsella,Oceanobacillus,Odoribacter,Ohtaekwangia,Oligosphaera,Olivibacter,Olsenella,Oribacterium,Oscillibacter,Paenalcaligenes,Paenibacillus,Paludibacter,Pandoraea,Parabacteroides,Paracoccus,Paraprevotella,Parasegetibacter,Parasutterella,Parcubacteria,Parvibacter,Parvimonas,Pedobacter,Pedomicrobium,Pelomonas,Peptococcus,Peptostreptococcus,Peredibacter,Petrimonas,Phascolarctobacterium,Phenylobacterium,Planomicrobium,Porphyromonas,Prevotella,Propionibacterium,Proteiniclasticum,Proteiniphilum,Providencia,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Pseudonocardia,Pseudoramibacter,Pseudoscardovia,Pseudoxanthomonas,Psychrobacter,Pyramidobacter,Ralstonia,Rheinheimera,Rhizobacter,Rhizobium,Rhodobacter,Rhodococcus,Rhodocytophaga,Rhodoferax,Rhodoluna,Romboutsia,Roseburia,Roseimicrobium,Roseomonas,Rothia,Rubellimicrobium,Ruminobacter,Ruminococcus,Ruminococcus2,SR1,Saccharibacteria,Saccharofermentans,Saccharopolyspora,Schwartzia,Sediminibacterium,Selenomonas,Senegalimassilia,Serratia,Sharpea,Shewanella,Skermanella,Slackia,Solibacillus,Solimonas,Soonwooa,Spartobacteria,Sphaerochaeta,Sphingobacterium,Sphingobium,Sphingomonas,Sphingopyxis,Sphingorhabdus,Spirochaeta,Sporobacter,Sporosarcina,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Streptomyces,Succiniclasticum,Succinimonas,Succinivibrio,Sulfurospirillum,Suttonella,Synergistes,Syntrophococcus,Syntrophomonas,Tahibacter,Taibaiella,Taonella,Thauera,Thermicanus,Thermoactinomyces,Thiopseudomonas,Tissierella,Treponema,Trichococcus,Turicibacter,Unclassified,Undibacterium,Ureaplasma,Vagococcus,Vampirovibrio,Variovorax,Veillonella,Vibrio,Vibrionimonas,Victivallis,Vitreoscilla,WPS_2,Wandonia,Williamsia,Yersinia,Yimella
E1,0,0,0.003203,0,0,0.009608,0,0.006405,0.147325,0,0,0,0.003203,0.01121,0,0,0,0,0,0.001601,0.003203,0,0,0,0,0.001601,0,0,0,0,0.048041,0,0,0,0,0,0.014412,0,0.040034,0,0,0,0,0.001601,0.07046,0,0,0.006405,0.041635,0.008007,0.003203,0.004804,1.992089,0,0,0,0.241805,0,0,0,0.025622,0,0,0,0.02402,0.003203,0.006405,0.092879,0.113696,0,0,0.176149,0.076865,0,0.003203,0.004804,0.009608,0,0,0,0.030426,0,0.020818,0,0,0,0.017615,0.05925,0.001601,0.072061,0.030426,0.027223,0,0.020818,0,0,0.040034,0,0,0.09448,0,0,0.028824,0.057649,0.008007,0,0,0.025622,0,0,0,0,0,0,0,4.730411,0,0,0.001601,0.004804,0,0.014412,0,0.93199,0,0.001601,0.019216,0,0,0,0.027223,0,0,0.041635,0.003203,0,0,0.048041,0,0,0,0,0.004804,0,0,0,0,0.081669,0,0.02402,0.009608,0.020818,0,0.001601,0.152129,0,0,0,0,0.008007,0,0.144122,0,0.02402,0.006405,0,0,0.041635,0,0,0.049642,0.001601,0,0,0,0,0.006405,0.001601,0,0,0,0.003203,0,0,0,0.017615,0,0.003203,0,0.008007,0.008007,0,0,0,1.905616,0,0,0.004804,0,0,4.243599,0,0.001601,0,0,0,0,0.017615,0,0,0,0,0.033629,0.003203,0.060852,0,0.019216,0,0,0,0,0.003203,0,0.003203,0,0,0,0.017615,0,0,0,0.01121,0,0,0,0,0,0.012811,0,0.022419,0.465995,0,0,0,0.004804,0.93199,0,0.064054,0,0,0,0,0.020818,0.028824,0.006405,0,0.006405,0.02402,0,0.030426,0,0,0,0.192163,0,0,0,0.008007,0,0.051243,17.253031,0.049642,0.001601,6.102775,3.029769,0,0,0.022419,0,0.115298,0,0,0,0,0.01121,0,0,0,0,0.009608,0,0.004804,0.030426,0,0,0,0,0,0.003203,0.001601,0,1.715054,0,0.557273,0.036831,0.004804,0,0,0.017615,0.62453,0,0,0,0,0,0,0,0,0.003203,0.02402,0,0.073662,37.736,0.01121,13.635563,0,0.091277,0,0.003203,0,0.019216,0.441975,0,0,0,0,0,0
E2,0,0,0.002075,0.002075,0.00415,0,0,0,0.002075,0,0.00415,0,0,0.002075,0,0,0,0,0,0,0.002075,0,0,0.002075,0,0,0,0,0,0,0.076778,0.006225,0.0083,0,0,0.043577,0,0,0,0,0,0.006225,0,0,0.288436,0,0,0,0.429541,0.161856,0,0,1.411052,0,0,0.002075,0.064327,0,0,0.006225,0,0,0,0,0.002075,0,0,0,0.006225,0,0,0.228258,0.195057,0,0.00415,0,0,0,0.006225,0,0.00415,0,0,0,0,0,0.089228,0.00415,0,0.377664,0.201282,0,0.002075,0,0,0,0.085078,0,0,0,0,0,0.00415,0,0,0,0,1.137142,0.002075,0,0,0,0,0,0.002075,1.120541,0,0,0,0,0,0,0.010375,0.672325,0,0.002075,0,0,0.166006,0,0.00415,0,0,0.070553,0,0.01245,0,0,0,0.002075,0,0,0,0,0,0,0,0.093378,0,0,0,0,0,0,0.058102,0,0,0,0,0,0,0.730427,0,0.00415,0,0,0,0,0,0,0.039426,0.074703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002075,0.002075,0,0,0,0.504244,0,0,0.116204,0,0,0.002075,0,0,0,0,0,0,0.002075,0.002075,0,0,0,0.101679,0.0083,0.056027,0,0.141105,0,0,0,0,0.002075,0,0.151481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.674566,0,0,0,0,0.087153,0,0.00415,0,0,0,0,0.002075,0.132805,0,0,0,0.002075,0,0.002075,0,0,0,0.045652,0.00415,0,0.002075,0,0,0.722127,28.02598,0.0083,0.010375,2.930008,1.633085,0,0,0,0.060177,0,0.00415,0,0,0,0.00415,0,0,0,0,0.070553,0,0,0,0,0,0,0,0,0,0,0.643274,0.002075,0,5.212592,0,0.006225,0,0,0.00415,0.109979,0.006225,0,0,0,0,0,0,0,0,2.085452,0,0.006225,34.97956,0,1.384076,0,0.066402,0,0,0,0,0.037351,0,0,0,0.002075,0,0
E3,0,0,0,0,0.05401,0.006751,0,0.008439,0.719012,0,0,0,0,0,0,0,0,0,0,0.030381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352755,0,0,0,0,0,0.313935,0,0,0,0.106333,0.018566,0,0,1.7739,0,0,0,0.173846,0,0,0,0.042196,0,0,0,0.153592,0,0,0,0.506346,0.05401,0,0.057386,38.283149,0,0,0.008439,0,0,0,0,0.18566,0,0.023629,0,0,0,0.001688,0.268363,0,0.158655,6.953821,0.057386,0,0.084391,0,0,0,0,0,0.283554,0,0.033756,0.222792,0,0,0,0,0.052322,0,0,0,0,0,0,0,0.688631,0,0.011815,0,0,0,0.006751,0,0.415204,0,0,0,0.001688,0.001688,0,0.11646,0,0.008439,0,0,0,0,0,0,0.001688,0,0,0,0,0,0,0,0,0,0,0,0.001688,0.05401,0.01519,0.01519,0,0,0,0,0,0,0.18566,0,0.013503,0.006751,0,0,0,0,0,0.006751,0.067513,0,0.011815,0.450648,0,0.006751,0,0,0,0.008439,0,0,0,0,0.035444,0,0,0,0.001688,0.072576,0.025317,0,0,1.407642,0,0,0,0,0,0,0,0,0,0,0,0,0.221105,0,0,0,0,0,0,0.405077,0,0.008439,0,0,0,0,0,0,0.057386,0,0,0,0,0,0,0,0.01519,0,0,0.011815,0,0.064137,0.050635,0,0,0.359506,0,0,0,0,0.074264,0,0.151904,0,0,0,0,0,0.057386,0.011815,0,0,0,0,0.084391,0,0,0,12.663719,0.01519,0,0,0,0,0.09283,9.387659,0.065825,0,0.553605,0.13165,0,0,0.182285,0,0.072576,0.148528,0.005063,0,0,0,0,0,0,0,0,0,0.001688,0.307183,0,0,0,0,0,0.008439,0,0.052322,0.001688,0,0.021942,0,0,0,0,0,0.320686,0,0,0,0,0,0,0,0,0,0.027005,0,0.271739,17.144883,0.344315,1.478531,0,0.268363,0.03882,0.001688,0,0.163719,0.027005,0,0,0,0,0,0
E4,0,0,0,0,0,0.001645,0,0.00329,0.093775,0,0.006581,0,0,0.004936,0,0,0,0.001645,0,0.001645,0.001645,0,0,0,0.001645,0,0,0,0,0,0.169452,0,0,0,0,0,0,0,0.027968,0,0,0,0,0.011516,0.200711,0,0,0,0.013161,0,0,0,1.706041,0,0,0,0.574164,0,0,0,0.004936,0,0,0,0.026323,0,0,0.004936,0.085549,0.009871,0,0.088839,0,0,0,0.014807,0,0,0.001645,0,0,0,0,0,0,0,0.118452,0.19413,0,0.011516,0.008226,0.120097,0,0.008226,0,0,0.121743,0,0,0.023032,0,0,0.009871,0.082258,0,0,0,0.049355,0,0,0,0,0,0.016452,0.00329,10.923927,0,0.016452,0,0,0,0.217162,0,1.126941,0,0.008226,0,0,0.006581,0,0,0,0,0.19413,0,0,0,0,0,0,0.00329,0,0.001645,0,0,0,0,0.09213,0,0,0,0,0,0,0.029613,0,0,0,0,0,0,0.024678,0,0,0.006581,0.006581,0,0.009871,0,0,0,0.004936,0,0.023032,0,0,0.001645,0,0,0,0.004936,0,0,0,0,0.00329,0,0,0,0.009871,0.008226,0.008226,0,0,0.755133,0,0,0.250066,0,0,0,0,0,0.00329,0,0,0,0.021387,0,0,0,0,0.051,0.011516,0.14313,0,0.014807,0,0,0,0,0,0.00329,0,0,0,0,0.004936,0.00329,0,0,0.013161,0,0,0,0,0.001645,0.024678,0,0,0.417873,0,0,0,0,0.717294,0,0.024678,0,0,0,0,0.023032,0.014807,0.00329,0,0.008226,0.014807,0,0.016452,0,0,0,0.72881,0,0,0,0.001645,0,0.00329,15.997631,0.136549,0,17.981706,3.635825,0,0,0.016452,0.001645,0.059226,0.001645,0.001645,0,0,0.006581,0,0,0,0,0,0.001645,0.001645,0.031258,0,0,0,0,0,0.00329,0,0.00329,0.006581,0,0.125033,0,0.008226,0,0,0.006581,0.424454,0,0,0,0,0,0,0,0,0,0.014807,0,0.126678,32.483877,0.026323,8.344301,0,0.097065,0.001645,0,0,0.037839,0.58568,0,0,0,0,0,0
E5,0,0,0,0.011357,0.014602,0.009734,0.00649,0.00649,0.082743,0.014602,0.014602,0,0,0,0,0,0,0.021091,0,0.025958,0.042182,0,0,0.012979,0,0,0,0,0,0,0.027581,0,0.014602,0.004867,0,0.133037,0,0.003245,0.03407,0,0,0,0,0.021091,0.193066,0.004867,0,0.008112,0.261207,0.285543,0,0,3.058228,0,0,0.003245,0.077875,0,0,0.008112,0.022714,0,0,0,0.008112,0,0,0.035693,0.116813,0,0,0.279053,15.385239,0,0.019469,0.004867,0,0,0.048672,0,0.098967,0,0,0,0,0.008112,0.068141,0.272564,0,0.12168,0.024336,0.363418,0,0.008112,0,0,0.08761,0.008112,0,0.055162,0,0.003245,0.045427,0.027581,0.021091,0,0,0.387754,0,0.001622,0,0,0,0,0,4.158217,0,0.038938,0,0.003245,0,0.105456,0.003245,0.601911,0,0.017846,0,0.004867,0.624625,0,0.017846,0.00649,0,0.413713,0,0.012979,0,0,0,0,0,0,0.008112,0,0,0,0,0.113568,0,0,0,0,0.016224,0.045427,0.032448,0,0,0,0,0,0,0.04705,0,0.152506,0.004867,0.004867,0,0,0,0,0.089232,0.012979,0,0.069763,0,0,0.003245,0,0,0,0,0,0.001622,0,0,0.037315,0,0.03407,0.011357,0.00649,0.016224,0,0,0.012979,0.713857,0,0,0.558106,0,0.004867,0,0,0,0.004867,0,0,0,0.043805,0,0,0,0,0.04056,0.025958,0.043805,0,0.056784,0,0,0,0,0,0,0.003245,0,0,0,0,0,0,0.012979,0.009734,0.001622,0,0,0,0.029203,0.012979,0,0,3.695832,0.008112,0,0,0,0.102211,0.008112,0.021091,0,0.008112,0,0,0.029203,0.079498,0,0,0.003245,0,0,0.025958,0,0,0,0.454273,0.011357,0,0,0,0,2.281097,32.48698,0.126547,0.003245,1.685676,0.436426,0,0.042182,0.025958,0.155751,0,0.00649,0.111946,0,0,0.012979,0,0,0,0,0.058406,0.003245,0.001622,0.043805,0,0,0,0,0,0.001622,0.00649,0,0.038938,0,4.445382,0.004867,0.851761,0,0,0.011357,0.280676,0,0,0,0,0,0.011357,0,0,0,0.502945,0,0.253095,20.927365,0.014602,0.009734,0,0.434804,0,0,0,0.016224,0.042182,0,0,0,0,0,0
E6,0,0.001573,0,0,0,0.059757,0,0.105361,1.124373,0,0,0,0,0,0,0.014153,0.034596,0,0,0.007863,0.001573,0,0,0.031451,0,0.015725,0,0,0,0,0.042459,0,0,0,0,0.070765,0,0.003145,0.130522,0,0,0,0,0.00629,0.036169,0,0,0.058184,0.105361,0.053467,0,0,0.028306,0.001573,0.004718,0,0,0.029878,0,0,0.066047,0,0,0,0.16669,0.003145,0,0.028306,1.085059,0.011008,0,0.144675,3.472189,0,0,0.139957,0,0,0,0,0,0,0.149392,0,4.178264,0,0.003145,0.014153,0,0.084918,5.761822,0.083345,0.001573,0.179271,0,0,0.028306,0,0,0.1604,0,0,0.441886,0,0,0,0,0.001573,0.025161,0,0,0,0,0.004718,0,0.066047,0,0,0.023588,0,0,0.018871,0,0.724945,0,0,0.00629,0.045604,0.017298,0,0.055039,0,0,0,0.001573,0,0,0,0,0.001573,0,0,0,0,0,0,0,0,0,0,0,0.001573,0,0.017298,0.674624,0,0,0,0,0,0,0.011008,0,0,0,0,0.084918,0,0,0,0.075482,0.045604,0,0,0,0,0,0.004718,0,0,0,0.00629,0,0,0,0.001573,0.004718,0.003145,0,0.100643,0.077055,0,0,0,0.665188,0,0,0,0,0,0.009435,0,0,0,0,0,0,0.168263,0,0,0,0,0.025161,0.062902,0.168263,0,0.009435,0,0,0,0,0.01258,0.020443,0.004718,0,0,0,0,0,0,0,0.055039,0,0,0,0,0.011008,0.143102,0,0,1.726659,0,0,0,0,0,0,0.265761,0,0,0,0,0.064475,0,0,0,0.00629,0.020443,0,0.136812,0,0,0,0.128949,0,0,0.009435,0,0.00629,0.033024,4.61386,0,0,0.047176,0.39471,0,0,0.264188,0.044031,0,0,0.179271,0,0,0,0,0,0,0,0.00629,0.124231,0.039314,0.185561,0,0,0,0,0,0,0.01258,0.01258,0.042459,0,0.047176,0,0.053467,0,0,0.496926,0.229592,0,0,0,0,0,0,0,0,0,0.235882,0.001573,0.044031,67.995471,0.099071,0.083345,0,0.287777,0,0,0,0.187133,0.24689,0,0,0,0,0,0
E7,0,0,0,0,0.003213,0,0,0.001606,0.171885,0,0,0,0.001606,0.014458,0,0,0.004819,0,0.001606,0,0.011245,0,0,0.012851,0,0,0,0.001606,0,0,0.06265,0,0,0,0,0.038554,0.012851,0,0.02249,0,0,0,0,0.001606,0.162246,0,0.001606,0,0.086746,0.114054,0,0,2.639315,0,0,0,0.019277,0,0,0.001606,0.004819,0,0,0,0.02249,0.014458,0,0.289152,0.094778,0,0,0.099597,0.077107,0,0,0.006426,0,0,0.032128,0,0.003213,0,0.028915,0,0,0.003213,0.261843,0.173491,0.004819,0.615251,0.006426,0.170278,0,0.012851,0,0,0.104416,0.012851,0,0.008032,0,0,0.02249,0.001606,0.001606,0,0,0.036947,0,0,0,0,0,0.001606,0,0.507622,0.003213,0.004819,0,0,0,6.147692,0,0.557421,0.008032,0,0,0,0.012851,0,0.016064,0,0,0.130118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001606,0,0,0,0,0,0,0.046586,0,0,0,0,0,0,0.003213,0,0,0,0.003213,0,0.028915,0,0,0.024096,0.011245,0,0.006426,0.001606,0,0,0,0.006426,0,0,0,0,0,0,0.001606,0,0,0,0.004819,0.004819,0.001606,0,0,0.58473,0.001606,0,0,0,0.003213,0.589549,0.009638,0,0.001606,0,0,0,0.056224,0,0,0,0,0.014458,0.009638,0.126906,0,0.064256,0,0,0,0,0,0.008032,0.154214,0,0,0,0.011245,0.001606,0,0,0.003213,0.003213,0,0,0,0.02249,0.016064,0,0,3.023245,0,0,0,0,0.838541,0.001606,0.014458,0,0,0,0.004819,0.17831,0.006426,0.008032,0,0.003213,0,0,0.001606,0,0.004819,0,0.872275,0,0,0,0.011245,0,0.064256,2.24896,0.006426,0.001606,10.87854,0.640954,0,0,0.008032,0.106022,0.168672,0.009638,0,0,0,0,0,0,0.009638,0,0.008032,0.011245,0,0.028915,0,0,0,0,0,0,0.006426,0.003213,0,0.009638,0.181523,0,0.173491,0,0,0.008032,0.184736,0,0,0,0,0,0,0,0,0,0.170278,0,0.187949,40.603364,0.01767,24.402821,0.004819,0.033734,0,0,0.004819,0.006426,0.123693,0.003213,0,0,0,0,0
E8,0,0,0,0,0.028859,0.003207,0,0.019239,0.303016,0,0,0,0.00481,0.022446,0,0.00481,0,0,0.001603,0.060924,0.014429,0,0,0.040081,0,0.001603,0,0,0,0,0.333478,0,0.001603,0,0,0,0.033668,0,0.049701,0,0,0,0,0.001603,0.080163,0,0,0.00962,0.169945,0.046494,0.001603,0,0.035272,0,0.001603,0.001603,0.21163,0,0,0,0.030462,0,0,0,0.027255,0,0.006413,0,0.213233,0,0,0.208424,0.056114,0,0,0.028859,0,0,0.003207,0,0,0.022446,0.125054,0,0,0,0.620461,0.169945,0,0.214837,0.00481,0.120244,0,0.012826,0,0,0.024049,0.025652,0,0.101005,0,0.022446,0.144293,0.030462,0,0,0.06894,0.092989,0,0,0.003207,0,0,0.008016,0,0.654129,0,0,0.003207,0,0.003207,0.019239,0,1.423693,0,0,0.035272,0,0.333478,0,0.084973,0,0,0.003207,0.028859,0,0,0,0,0,0,0.019239,0.025652,0,0,0,0,0,0,0,0,0.001603,0,0,0.181168,0,0,0,0,0,0,0.056114,0,0.011223,0,0,0,0,0,0.14269,0.208424,0.001603,0.012826,0.006413,5.760505,0,0,0,0,0,0.006413,0,0,0,0,0.008016,0.00481,0,0,0.036875,0.011223,0.030462,0,0,1.204047,0,0,0.00481,0,0,7.815882,0.033668,0,0,0,0,0.008016,0.028859,0,0,0,0,0.335081,0.234076,0.008016,0,0.048098,0,0,0,0,0,0.028859,0.011223,0,0,0,0.020842,0,0,0,0.008016,0,0,0,0,0.043288,0.006413,0,0,1.167172,0,0,0,0,0.224456,0.008016,0.035272,0,0,0,0,0.059321,0.00481,0.016033,0,0.008016,0.003207,0,0.017636,0,0,0,1.391628,0,0,0,0.00962,0,0.057717,2.885864,0.006413,0.00481,4.195726,1.580812,0,0,0.040081,0,0.017636,0.008016,0,0,0,0.001603,0,0,0,0,0.057717,0.048098,0.006413,0.097799,0,0.017636,0,0.014429,0,0.00481,0.006413,0.00481,0.001603,0,0.745515,0,0.003207,0,0,0.030462,0.118641,0,0,0,0,0,0,0,0,0,0.368749,0,0.311032,59.682876,0.017636,2.358392,0,0.208424,0,0,0,0.035272,1.292226,0.001603,0,0,0,0,0
E9,0,0,0,0,0.003205,0.001603,0,0.011219,0.044876,0,0,0,0.004808,0,0,0,0,0,0,0.001603,0.014424,0,0,0.012822,0,0,0.030452,0,0,0,0.064109,0,0,0,0,0.020835,0.001603,0,0.004808,0,0,0,0,0,0.075328,0,0,0.001603,0.038465,0.07693,0,0,0.520883,0,0,0,0.060903,0,0,0.004808,0.004808,0,0,0,0,0,0,0.004808,0.032054,0,0,0.560951,0.16508,0,0,0,0.003205,0,0.060903,0,0,0,0.009616,0,0,0,0.067314,0.057698,0,0.064109,0.003205,0.012822,0,0.001603,0,0,0.022438,0,0,0.009616,0,0,0.011219,0,0.003205,0,0,0.142642,0,0,0.001603,0,0,0,0,0.323749,0,0,0.001603,0,0,0.001603,0,0.419912,0,0,0.001603,0,0.009616,0,0.003205,0,0,0.528897,0,0,0,0,0,0,0,0,0.009616,0,0,0,0,0.003205,0,0,0,0,0.001603,0.001603,0.032054,0,0,0.001603,0,0,0,0.001603,0,0.001603,0,0,0,0.004808,0,0,0.097766,0,0,0.004808,0,0,0,0,0,0.008014,0,0,0,0,0,0.004808,0,0,0,0.001603,0.001603,0.003205,0,0,0.325352,0,0,0.019233,0,0,0.038465,0.001603,0.001603,0,0,0,0,0.01763,0,0,0,0,0.097766,0.006411,0.131423,0,0.032054,0,0,0,0,0.008014,0.003205,0.025643,0,0,0,0.001603,0,0,0,0.004808,0,0,0,0,0.019233,0.004808,0,0.001603,0.560951,0,0,0,0,0.07693,0,0.001603,0,0,0,0,0.004808,0.254832,0,0,0,0,0,0.006411,0,0,0,0.086547,0,0,0,0.001603,0,0.028849,4.713594,0.001603,0,0.847838,0.022438,0,0,0.006411,0.064109,0.001603,0.006411,0,0,0,0,0,0,0,0,0.001603,0.001603,0.001603,0.020835,0,0,0,0,0,0,0,0.336571,0,0,1.897618,0,2.408885,0,0,0.003205,0.174696,0,0,0,0,0,0,0,0,0,0.030452,0,0.07693,15.575216,0.003205,68.088278,0,0.049684,0,0,0,0.028849,0.169888,0,0,0,0,0,0
E10,0,0,0,0,0.001619,0,0,0,0.218613,0,0,0,0.008097,0.001619,0,0,0.02591,0.741664,0.014574,0,0.004858,0,0,0.009716,0,0,0.003239,0.001619,0.001619,0,0.497142,0,0.006477,0,0,0.003239,0.011335,0,0.017813,0,0,0,0,0.001619,0.263955,0,0,0,0.139264,0.042103,0.011335,0,3.107541,0,0,0,0.042103,0,0,0,0.027529,0,0,0,0.027529,0,0,0.239664,0.129548,0,0,0.118213,0.103639,0.011335,0,0.017813,0.001619,0,0,0,0.048581,0,0.058297,0,0,0.006477,0.887406,0.212135,0,0.103639,0.012955,0.069632,0,0.040484,0,0,0.27529,0.009716,0,0.034006,0,0,0.027529,0.004858,0.008097,0,0,0.134406,0,0,0,0,0,0,0,1.144884,0,0,0,0,0,0.003239,0,1.206419,0,0,0.006477,0,0.356258,0.003239,0.077729,0,0,0.029148,0,0.004858,0,0,0,0,0,0,0.009716,0,0,0,0,0.011335,0,0,0,0,0,0.001619,0.116594,0,0,0,0,0,0,0.066394,0,0,0,0,0,0.011335,0,0,0.068013,0.087445,0,0.012955,0,0,0.008097,0,0,0,0,0,0,0,0,0.001619,0.001619,0.006477,0,0.001619,0.001619,0,0,0.003239,2.918077,0,0,0.004858,0,0.006477,2.752903,0.006477,0,0.006477,0,0,0,0.042103,0,0.006477,0.001619,0,0.029148,0.285006,0.336826,0,0.035626,0,0,0,0,0.022671,0.02591,0.016194,0,0,0,0.017813,0,0.001619,0,0,0,0,0,0,0.004858,0.02429,0,0,2.048483,0,0,0,0,0.4016,0,0.019432,0,0,0,0,0.056677,0.017813,0.011335,0,0,0.004858,0,0.011335,0,0,0,0.257477,0,0,0,0,0,0.045342,13.636584,0.056677,0.012955,3.766619,1.227471,0.004858,0.003239,0.008097,0.006477,0.442084,0.003239,0.430748,0,0,0,0,0,0.003239,0,0.093923,0.008097,0,0.029148,0.006477,0.006477,0,0.003239,0,0,0.014574,0.003239,0.012955,0,1.080109,0,0.02591,0,0,0.092303,0.380548,0.001619,0,0,0,0,0,0,0,0,0.322252,0,0.220232,55.069389,0.027529,1.841206,0,0.158697,0,0,0.055058,0.016194,0.479329,0,0,0,0,0,0
