Sample,Acetanaerobacterium,Acetatifactor,Acetivibrio,Acetobacteroides,Acholeplasma,Acidaminococcus,Acinetobacter,Actinobacillus,Actinomyces,Actinotignum,Adlercreutzia,Aestuariispira,Aggregicoccus,Akkermansia,Alistipes,Allisonella,Allobaculum,Alloprevotella,Alysiella,Anaerocella,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerosporobacter,Anaerotruncus,Anaerovibrio,Anaerovorax,Aquabacterium,Armatimonadetes_gp2,Atopobium,Aureimonas,Bacillus,Bacteroides,Barnesiella,Bibersteinia,Bifidobacterium,Bilophila,Blautia,Brachymonas,Bradyrhizobium,Brevundimonas,Brucella,Bulleidia,Burkholderia,Butyricicoccus,Butyricimonas,Butyrivibrio,Campylobacter,Candidatus_Endomicrobium,Catonella,Centipeda,Chlamydophila,Christensenella,Chryseobacterium,Cloacibacillus,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Curvibacter,Defluviitalea,Denitrobacterium,Desulfobulbus,Desulfomicrobium,Desulfovibrio,Devosia,Dialister,Dietzia,Eggerthella,Eikenella,Elusimicrobium,Enterococcus,Erysipelothrix,Escherichia,Ethanoligenens,Eubacterium,Faecalibacterium,Faecalicoccus,Faecalitalea,Fibrobacter,Flavobacterium,Flavonifractor,Fretibacterium,Fusobacterium,Gemmiger,Globicatella,Gordonibacter,GpI,Haemophilus,Holdemania,Howardella,Hydrogenoanaerobacterium,Intestinimonas,Kandleria,Klebsiella,Lachnoanaerobaculum,Lachnobacterium,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactonifactor,Lawsonia,Leifsonia,Leptotrichia,Lysinibacillus,Mannheimia,Massilia,Megamonas,Megasphaera,Mitsuokella,Mogibacterium,Moraxella,Moryella,Mycoplasma,Neisseria,Nitrosomonas,Oligosphaera,Olivibacter,Olsenella,Oribacterium,Oscillibacter,Parabacteroides,Paracoccus,Paraprevotella,Parvibacter,Parvimonas,Pelomonas,Peptococcus,Phascolarctobacterium,Phenylobacterium,Porphyromonas,Prevotella,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Pseudoramibacter,Psychrobacter,Pyramidobacter,Ralstonia,Rhizobium,Romboutsia,Roseburia,Rothia,Ruminobacter,Ruminococcus,Ruminococcus2,SR1,Saccharibacteria,Saccharofermentans,Saccharopolyspora,Schwartzia,Selenomonas,Senegalimassilia,Sharpea,Slackia,Solibacillus,Sphaerochaeta,Sphingomonas,Spirochaeta,Sporobacter,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Succiniclasticum,Succinimonas,Succinivibrio,Suttonella,Synergistes,Syntrophococcus,Syntrophomonas,Treponema,Turicibacter,Unclassified,Ureaplasma,Vampirovibrio,Veillonella,Victivallis,Yersinia
E1,0,0.00265,0,0,0.023852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018552,0.010601,0,0.010601,0,0,0.074208,0,0,0,0.010601,0,0,1.171419,0.702322,0,0.068907,0,0.039754,0.013251,0,0,0,0.005301,0,0,0,0.38959,0,0.013251,0,0.119262,0,0,0,0,0,0.013251,0,0,0.548606,0.029153,0,0,0,0,0.015902,0,0,0,0.10071,0,0.278278,0,0,0,0,0.00265,0.103361,0,0,0,0.029153,0.182869,0,0,0,2.880844,0,0,1.478851,0.00265,0,0,0,0,0,0.010601,0,0,0.015902,0,0,0.005301,0,0,0.018552,0,0.00265,0,0,0,0,0,0,0,0,0,0.021202,0,0.007951,0,0,0,0.090109,0.071557,0.023852,0,0.874589,0.007951,0,0.455846,0,0,0,0,0,0,0,32.412806,0.066257,0,0,0,0,0.174918,0.00265,0,0,0,0,1.534507,6.599173,0.005301,0.818934,0.219972,0.336584,0,0,0.140464,0,0.00265,0,0,0.675819,0,0.00265,0.00265,0,0,0.005301,0.00265,3.029259,2.332238,1.007103,0.039754,0.007951,0.005301,0.00265,2.239478,0,38.322909,0,0.050355,0,0.013251,0
E2,0,0,0,0,0.023402,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0.059806,0,0.291227,0,0,0.533049,0,0,0,0.028603,0,0,0.507047,0.33023,0.0026,0.0052,0,0.010401,0.010401,0.0026,0,0,0.0052,0,0,0,2.199802,0.007801,0.007801,0.013001,0.624057,0,0.007801,0,0,0,0.013001,0,0.007801,0.041604,0.0052,0,0,0,0,0.020802,0.0026,0,0.0052,0.10661,0,0.566852,0,0,0,0,0,0.270425,0,0.0052,0,0.0052,0.275625,0,0,0,0.049405,0,0,0.696864,0,0,0,0,0.039004,0,0.023402,0,0,0.052005,0.015601,0.0026,0,0,0,0.031203,0.0026,0.023402,0,0,0,0,0,0,0,0,0,0.091008,0,0.338031,0.0052,0,0,0.028603,0.075407,0,0,0.200218,0.200218,0,0.192418,0.0026,0,0,0,0,0,0,30.927245,0.223621,0,0,0,0,0.075407,0,0,0,0.010401,0,3.523324,7.683707,0.023402,0,0.202819,0.210619,0,0.0026,3.018878,0,0.026002,0.023402,0,0.351032,0,0,0.0026,0,0,0.010401,0.0052,11.053617,0,2.007385,0.0026,0.0052,0.023402,0.0052,0.371834,0,31.975142,0.127412,0.031203,0,0.007801,0
E3,0,0,0.020275,0,0.014482,0,0.005793,0,0,0,0,0.052135,0,0.002896,0,0,0,0,0.008689,0,0.052135,0,0.028964,0,0,0.072409,0,0,0,0.005793,0,0,0.926838,1.885536,0,0,0,0,0.049238,0,0,0,0.002896,0.005793,0,0,1.346811,0.002896,0.03186,0.026067,0,0,0.002896,0,0.060824,0,0.014482,0.002896,0,0.871807,0.034756,0,0,0,0,0,0.002896,0,0,0.124544,0,0.460523,0,0,0,0,0,0.078202,0,0,0,0.052135,0.393906,0,0,0.002896,7.849157,0,0,0.112958,0.008689,0,0,0,0.008689,0,0.034756,0,0,0.225917,0.002896,0,0,0,0,0.03186,0,0,0,0,0,0,0,0,0,0,0,0.03186,0,0.011585,0,0,0,0.057927,0.005793,0.005793,0,0.382321,0.005793,0,0.35915,0,0,0,0,0.002896,0.002896,0,38.741818,0.379424,0,0,0,0,0.240399,0,0,0.002896,0.005793,0,3.892719,2.667555,0,0,0.011585,0.605341,0,0,0.165093,0,0,0,0,0.341771,0.002896,0,0.002896,0,0,0.110062,0,1.601691,0,0.12744,0,0.29543,0.023171,0,2.644384,0,32.259746,0.081098,0.002896,0.002896,0.005793,0
E4,0,0,0,0.005785,0.014463,0,0,0.002893,0,0.002893,0,0,0,0,0,0,0,0.002893,0,0.01157,0.043388,0,0.101238,0.005785,0,0.095453,0,0,0,0,0,0,0.769409,0.827259,0,0,0,0.052065,0.005785,0,0,0,0.014463,0,0,0,0.97767,0.002893,0.002893,0.008678,0.005785,0,0,0,0,0,0.002893,0,0,2.481777,0.03471,0,0,0,0,0.008678,0,0,0,0.028925,0,0.454125,0,0,0,0,0,0.066528,0,0,0,0.008678,0.352887,0,0,0,0.271896,0,0,0.05785,0,0,0,0,0.002893,0,0.002893,0,0,0.028925,0.002893,0,0,0,0,0.01157,0,0.002893,0,0,0.002893,0,0,0,0,0,0,0.040495,0.002893,0.173551,0,0.005785,0,0.002893,0.014463,0.026033,0,0.060743,0.020248,0.002893,0.231401,0,0,0,0,0,0,0,51.706583,0.130163,0,0,0,0,0.133056,0,0,0,0,0,4.824714,2.455745,0.008678,0.104131,0.063635,0.222724,0,0,0.002893,0,0,0.008678,0,0.144626,0,0,0,0,0,0.01157,0.005785,2.206988,0,0,0.002893,0.008678,0.005785,0.002893,4.066875,0,26.521462,0,0,0,0.002893,0
E5,0,0,0,0.065174,0.061915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006517,0,0.02607,0,0.061915,0.003259,0,0.039105,0,0,0,0.048881,0,0,0.521393,0.081468,0.006517,0,0,0.013035,0.006517,0,0,0,0,0,0,0,0.407339,0,0,0.006517,0.003259,0,0.003259,0,0,0,0.02607,0,0,0.684329,0.006517,0,0,0,0,0.009776,0,0,0,0,0,0.387786,0,0,0,0,0.003259,0.058657,0,0,0,0.013035,0.211816,0,0,0,0.306319,0,0,0.07495,0,0,0,0,0.006517,0,0,0,0,0.032587,0,0,0,0,0,0.071692,0,0,0,0,0,0,0.003259,0.003259,0,0,0,0.019552,0,0.009776,0,0,0,0.02607,0.013035,0.006517,0,0.32913,0.013035,0.003259,0.446443,0,0,0,0,0,0,0,47.694463,0.410597,0,0,0,0,0.061915,0,0,0,0.02607,0,1.316518,7.954508,0,0.065174,0.12709,0.482289,0,0,0.091244,0,0,0,0,0.104279,0,0,0,0,0,0.17597,0,0.912438,0,0.003259,0,0,0.019552,0,1.352364,0,35.063708,0,0.006517,0,0.003259,0
E6,0,0.008362,0.002787,0.482203,0.019511,0,0,0,0,0,0,0,0,0,0,0.005575,0,0.005575,0,0,0.027873,0,0.044597,0,0,0.108705,0,0,0.005575,0,0,0,0.62993,0.136578,0,0.002787,0,0.039022,0,0,0,0,0.002787,0,0,0,1.265435,0,0.005575,0.008362,0.013937,0,0.008362,0,0,0,0.033448,0,0.002787,0.84734,0.025086,0,0,0,0,0.002787,0,0,0.008362,0.019511,0,0.437606,0,0,0,0,0,0.114279,0,0,0.008362,0.047384,0.359562,0,0,0,0.850127,0,0,1.226412,0,0,0,0,0,0,0,0.002787,0,0.022298,0,0,0.013937,0,0,0.058533,0.002787,0.002787,0,0,0,0,0,0,0,0.011149,0.005575,0.03066,0.002787,0.052959,0,0,0,0.066895,3.124564,0.016724,0,0.7024,0.080832,0,0.643867,0,0,0,0,0,0,0,29.266661,0.061321,0,0,0.002787,0,0.097556,0,0,0,0,0,10.084455,2.040304,0.013937,0.008362,0.195111,0.529587,0,0,0.091981,0.002787,0.002787,0,0,0.281517,0,0.005575,0.002787,0,0,0.011149,0,6.438665,0.069683,3.255568,0.002787,0.002787,0.025086,0.008362,1.505143,0,34.283803,0.002787,0.04181,0,0.016724,0
E7,0,0,0,0.013926,0.011141,0,0.002785,0,0,0,0,0.125331,0,0,0,0,0,0,0,0,0.069628,0,0,0.002785,0,0.008355,0.002785,0.002785,0,0.00557,0,0,0.615513,0.125331,0,0.069628,0,0.022281,0,0,0,0.002785,0.011141,0,0,0,0.593232,0,0.069628,0,0.033422,0,0,0,0,0,0.389918,0,0,0.729703,0.011141,0,0,0,0,0.033422,0,0,0,0.044562,0,0.270157,0,0,0,0,0,0.094694,0,0,0,0.030636,0.272942,0,0,0,7.068653,0,0,0.381562,0,0,0,0,0,0,0.019496,0,0,0.008355,0,0,0.002785,0,0,0.130901,0,0.008355,0,0,0,0,0.002785,0,0,0.00557,0,0.022281,0,0.011141,0,0,0,0.133686,10.594625,0.066843,0,0.579307,0.008355,0,0.231166,0,0,0,0,0,0,0,26.890405,0.181033,0,0,0.011141,0,0.130901,0,0,0,0.011141,0,0.523604,1.659936,0,0.147612,0.172678,0.751984,0,0,0.022281,0.002785,0.075198,0.002785,0,0.626654,0,0.013926,0,0,0,0.030636,0,4.308592,0,0.008355,0,0.016711,0.019496,0.002785,5.3558,0,35.549366,0.025066,0.481827,0,0.036207,0
E8,0,0.008577,0,0.749064,0.02859,0,0.002859,0,0,0,0,0,0,0,0.005718,0,0,0,0,0,0.082912,0,0.008577,0.005718,0,0.025731,0,0,0,0.02859,0,0,0.185836,4.634474,0,0,0,0.05718,0,0,0,0,0.002859,0,0.002859,0,1.300855,0,0.08863,0,0.022872,0,0.002859,0,0,0,0.105784,0,0,0.811962,0.014295,0,0,0,0,0.008577,0,0,0,0.02859,0,0.191554,0,0,0,0.002859,0,0.091489,0,0,0.002859,0.08863,0.454584,0,0,0,1.721131,0,0.005718,0.325928,0,0,0.002859,0.008577,0,0,0.005718,0,0,0.031449,0,0,0,0.025731,0.011436,0.082912,0,0.002859,0,0,0,0,0.002859,0,0,0,0,0.042885,0.002859,0.002859,0.02859,0.002859,0,0.080053,0.920605,0.002859,0,0.220145,0.082912,0,0.074335,0,0,0,0.002859,0,0,0,16.242102,0.268748,0,0,0,0,0.111502,0,0,0,0.014295,0.002859,2.51308,2.310089,0,0.051462,0.271607,1.349458,0.002859,0,0.005718,0,0,0,0,0.040026,0,0,0.002859,0,0,0.008577,0,4.477228,0,0.411699,0,0.008577,0.008577,0.005718,1.235097,0,57.8037,0,0.08863,0,0.02859,0
E9,0,0.007656,0,0.020415,0.010208,0,0,0,0,0.002552,0,0,0.002552,0.010208,0.010208,0,0,0.005104,0,0,0.061246,0,0,0,0,0.275609,0,0,0.002552,0.043383,0.002552,0,0.173531,0.691574,0,0.094421,0,0.051039,0.010208,0,0,0,0.010208,0.002552,0.002552,0,2.187006,0.005104,0.318991,0,1.569438,0,0,0,0,0.002552,0.06635,0,0,1.051396,0.020415,0,0,0,0,0.048487,0,0,0.002552,0.058694,0,0.385342,0,0,0,0.002552,0,0.007656,0,0,0,0.017864,0.839586,0,0,0,0.602256,0,0,3.67223,0,0,0,0,0,0,0.022967,0,0,0.028071,0,0,0.005104,0,0,0.326647,0.002552,0.002552,0,0,0,0,0,0,0,0,0,0.053591,0,0.329199,0.022967,0,0,0.010208,0.048487,0.020415,0,0.193947,0.043383,0,0.867657,0.005104,0,0,0,0.015312,0,0,37.921707,1.125402,0,0,0.002552,0,0.022967,0,0,0,0.030623,0,0.015312,1.822079,0.01276,0.030623,0.114837,0.071454,0,0,2.3784,0,0,0,0,0.063798,0.005104,0.005104,0,0,0,2.125759,0,3.965702,0,1.967539,0,0.002552,0.035727,0.007656,0.426173,0,33.481345,0,0.015312,0,0.002552,0
E10,0,0.00592,0,0.00592,0.00888,0,0.00296,0,0,0,0,0,0.00888,0.00296,0,0,0,0,0,0,0.02072,0,0.133199,0,0,0.079919,0,0,0,0.00592,0,0,0.464717,0.263438,0,0.349278,0,0,0.00296,0,0,0,0.01184,0,0,0,0.600876,0,0.04736,0,0,0,0.00592,0.00296,0,0,0.02368,0,0,0.754795,0.00888,0.03256,0,0,0,0.00592,0,0,0,0.02072,0,0.06512,0,0,0,0,0,0.612716,0,0,0.00296,0.00296,0.103599,0.00296,0,0,14.438788,0,0,0.00888,0,0,0,0,0.00296,0,0.00296,0,0,0.00592,0,0,0.00592,0,0.00592,0.06512,0,0,0,0,0,0,0,0,0.00296,0,0.221999,0.0148,0,0.0148,0.00888,0,0,0.082879,0.02072,0.183519,0,0.07104,0.112479,0,0.319678,0,0,0,0,0,0,0,34.619938,0.186479,0,0,0.00296,0.00296,0.165759,0,0,0,0.103599,0,0.245678,0.822875,0,0.02368,0.074,0.725195,0,0.03848,0.06216,0,0.06216,0,0,0.097679,0,0,0,0,0,0.109519,0,2.468624,0.00592,0.405517,0,0.00296,0.01776,0,6.213,0,34.104902,0.142079,0.02368,0,0.02072,0
